Product_Name,Sub_Fund_Name,Issuer,Auth_Date,Doc,Deriv_Fund,Product_ID,Sub_Fund_ID,doc_url
HSBC Global Funds ICAV (BNY711),HSBC Global Funds ICAV - Global Equity Index Fund (BNY715),HSBC Investment Funds (Luxembourg) S.A.,6/6/2019,Offering Documents,No,BNY711,BNY715,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNY715&docType=OD
HSBC Global Funds ICAV (BNY711),HSBC Global Funds ICAV - Global Government Bond Index Fund (BNY713),HSBC Investment Funds (Luxembourg) S.A.,6/6/2019,Offering Documents,No,BNY711,BNY713,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNY713&docType=OD
HSBC Global Funds ICAV (BNY711),HSBC Global Funds ICAV - US Equity Index Fund (BNY716),HSBC Investment Funds (Luxembourg) S.A.,6/6/2019,Offering Documents,No,BNY711,BNY716,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNY716&docType=OD
Manulife Global Fund (ABG535),Manulife Global Fund - Global Multi-Asset Diversified Income Fund (BOH306),Manulife Investment Management (Ireland) Limited,4/6/2019,Offering Documents,No,ABG535,BOH306,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOH306&docType=OD
GaoTeng WeFund (BND024),GaoTeng WeIncome Low Volatility Short Duration Fund (BOE613),GaoTeng Global Asset Management Limited,27/5/2019,Offering Documents,No,BND024,BOE613,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOE613&docType=OD
E Fund ChinaBond 7-10 Year CDB Bond Index Fund (BOA157),,"E Fund Management Co., Ltd",29/4/2019, ,No,BOA157,,
Schroder International Selection Fund (AEU509),All China Equity (BOC909),Schroder Investment Management (Europe) S.A.,29/4/2019,Offering Documents,No,AEU509,BOC909,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOC909&docType=OD
BlackRock Global Funds (AAR239),FinTech Fund (BOD047),BlackRock (Luxembourg) S.A.,17/4/2019,Offering Documents,No,AAR239,BOD047,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOD047&docType=OD
BlackRock Global Funds (AAR239),Future Of Transport Fund (BOD048),BlackRock (Luxembourg) S.A.,17/4/2019,Offering Documents,No,AAR239,BOD048,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOD048&docType=OD
BlackRock Global Funds (AAR239),Next Generation Technology Fund (BOD050),BlackRock (Luxembourg) S.A.,17/4/2019,Offering Documents,No,AAR239,BOD050,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOD050&docType=OD
